// 商店名稱字串定義檔, 複製到 GameResource.txt

[name]

item = 17000,成都兵器鋪
item = 17001,兵器鋪老闆
item = 17002,本店打造各式兵器、防具一應俱全。
item = 17003,洛陽兵器鋪
item = 17004,兵器鋪老闆
item = 17005,本店打造各式兵器、防具一應俱全。
item = 17006,建業兵器鋪
item = 17007,兵器鋪老闆
item = 17008,本店打造各式兵器、防具一應俱全。
item = 17009,新野兵器鋪
item = 17010,兵器鋪老闆
item = 17011,本店打造各式兵器、防具一應俱全。
item = 17012,汝南兵器鋪
item = 17013,兵器鋪老闆
item = 17014,本店打造各式兵器、防具一應俱全。
item = 17015,江夏兵器鋪
item = 17016,兵器鋪老闆
item = 17017,本店打造各式兵器、防具一應俱全。
item = 17018,上庸兵器鋪
item = 17019,兵器鋪老闆
item = 17020,本店打造各式兵器、防具一應俱全。
item = 17021,許昌兵器鋪
item = 17022,兵器鋪老闆
item = 17023,本店打造各式兵器、防具一應俱全。
item = 17024,盧江兵器鋪
item = 17025,兵器鋪老闆
item = 17026,本店打造各式兵器、防具一應俱全。
item = 17027,宛兵器鋪
item = 17028,兵器鋪老闆
item = 17029,本店打造各式兵器、防具一應俱全。
item = 17030,襄陽兵器鋪
item = 17031,兵器鋪老闆
item = 17032,本店打造各式兵器、防具一應俱全。
item = 17033,壽春兵器鋪
item = 17034,兵器鋪老闆
item = 17035,本店打造各式兵器、防具一應俱全。
item = 17036,長沙兵器鋪
item = 17037,兵器鋪老闆
item = 17038,本店打造各式兵器、防具一應俱全。
item = 17039,徐州兵器鋪
item = 17040,兵器鋪老闆
item = 17041,本店打造各式兵器、防具一應俱全。
item = 17042,北海兵器鋪
item = 17043,兵器鋪老闆
item = 17044,本店打造各式兵器、防具一應俱全。
item = 17045,江州兵器鋪
item = 17046,兵器鋪老闆
item = 17047,本店打造各式兵器、防具一應俱全。
item = 17048,長安兵器鋪
item = 17049,兵器鋪老闆
item = 17050,本店打造各式兵器、防具一應俱全。
item = 17051,柴桑兵器鋪
item = 17052,兵器鋪老闆
item = 17053,本店打造各式兵器、防具一應俱全。
item = 17054,北平兵器鋪
item = 17055,兵器鋪老闆
item = 17056,本店打造各式兵器、防具一應俱全。
item = 17057,涼州兵器鋪
item = 17058,兵器鋪老闆
item = 17059,本店打造各式兵器、防具一應俱全。
item = 17060,建寧兵器鋪
item = 17061,兵器鋪老闆
item = 17062,本店打造各式兵器、防具一應俱全。
item = 17063,豫章兵器鋪
item = 17064,兵器鋪老闆
item = 17065,本店打造各式兵器、防具一應俱全。
item = 17066,晉陽兵器鋪
item = 17067,兵器鋪老闆
item = 17068,本店打造各式兵器、防具一應俱全。
item = 17069,武陵兵器鋪
item = 17070,兵器鋪老闆
item = 17071,本店打造各式兵器、防具一應俱全。
item = 17072,安定兵器鋪
item = 17073,兵器鋪老闆
item = 17074,本店打造各式兵器、防具一應俱全。
item = 17075,天水兵器鋪
item = 17076,兵器鋪老闆
item = 17077,本店打造各式兵器、防具一應俱全。
item = 17078,江州兵器鋪
item = 17079,兵器鋪老闆
item = 17080,本店打造各式兵器、防具一應俱全。
item = 17081,零陵兵器鋪
item = 17082,兵器鋪老闆
item = 17083,本店打造各式兵器、防具一應俱全。
item = 17084,平原兵器鋪
item = 17085,兵器鋪老闆
item = 17086,本店打造各式兵器、防具一應俱全。
item = 17087,桂陽兵器鋪
item = 17088,兵器鋪老闆
item = 17089,本店打造各式兵器、防具一應俱全。
item = 17090,漢中兵器鋪
item = 17091,兵器鋪老闆
item = 17092,本店打造各式兵器、防具一應俱全。
item = 17093,陳留兵器鋪
item = 17094,兵器鋪老闆
item = 17095,本店打造各式兵器、防具一應俱全。
item = 17096,鄴城兵器鋪
item = 17097,兵器鋪老闆
item = 17098,本店打造各式兵器、防具一應俱全。
item = 17099,會稽兵器鋪
item = 17100,兵器鋪老闆
item = 17101,本店打造各式兵器、防具一應俱全。
item = 17102,遼東兵器鋪
item = 17103,兵器鋪老闆
item = 17104,本店打造各式兵器、防具一應俱全。
item = 17105,高句麗兵器鋪
item = 17106,兵器鋪老闆
item = 17107,本店打造各式兵器、防具一應俱全。
item = 17108,樂浪兵器鋪
item = 17109,兵器鋪老闆
item = 17110,本店打造各式兵器、防具一應俱全。
item = 17111,長兵武器鋪
item = 17112,兵器鋪老闆
item = 17113,本店販售各式長兵武器，歡迎參觀選購！
item = 17114,短兵防具鋪
item = 17115,兵器鋪伙計
item = 17116,要買短兵，弓箭，或是防具就來這裡吧！
item = 17117,鎧甲店
item = 17118,鎧甲店老闆
item = 17119,本店只提供上等的鎧甲。
item = 17120,裝備店
item = 17121,裝備店伙計
item = 17122,這裡有各式頭盔，護腕和鞋子。
item = 17123,護具鋪
item = 17124,護具鋪老闆
item = 17125,內衣與披風只有到這裡才有喔。
item = 17126,書鋪
item = 17127,書鋪老闆
item = 17128,珍貴各式書籍，儘管挑吧！
item = 17129,飾品坐騎店
item = 17130,小販
item = 17131,本店提供飾品與坐騎，請慢慢挑選。
item = 17132,道具鋪
item = 17133,道具店老闆
item = 17134,實用的補給品，這兒通通都有喔！
item = 17135,兵營
item = 17136,屯騎校尉
item = 17137,這裡可以雇用士兵喔！
item = 17138,煉造房
item = 17139,煉丹巫女
item = 17140,本房專供新物品的煉造以及裝備的強化，付費便可使用。
item = 17141,成都市場
item = 17142,小販
item = 17143,來喔、來喔、南北貨物通通都有。
item = 17144,洛陽市場
item = 17145,小販
item = 17146,來喔、來喔、南北貨物通通都有。
item = 17147,建業市場
item = 17148,小販
item = 17149,來喔、來喔、南北貨物通通都有。
item = 17150,新野市場
item = 17151,小販
item = 17152,來喔、來喔、南北貨物通通都有。
item = 17153,汝南市場
item = 17154,小販
item = 17155,來喔、來喔、南北貨物通通都有。
item = 17156,江夏市場
item = 17157,小販
item = 17158,來喔、來喔、南北貨物通通都有。
item = 17159,上庸市場
item = 17160,小販
item = 17161,來喔、來喔、南北貨物通通都有。
item = 17162,許昌市場
item = 17163,小販
item = 17164,來喔、來喔、南北貨物通通都有。
item = 17165,盧江市場
item = 17166,小販
item = 17167,來喔、來喔、南北貨物通通都有。
item = 17168,宛市場
item = 17169,小販
item = 17170,來喔、來喔、南北貨物通通都有。
item = 17171,襄陽市場
item = 17172,小販
item = 17173,來喔、來喔、南北貨物通通都有。
item = 17174,壽春市場
item = 17175,小販
item = 17176,來喔、來喔、南北貨物通通都有。
item = 17177,長沙市場
item = 17178,小販
item = 17179,來喔、來喔、南北貨物通通都有。
item = 17180,徐州市場
item = 17181,小販
item = 17182,來喔、來喔、南北貨物通通都有。
item = 17183,北海市場
item = 17184,小販
item = 17185,來喔、來喔、南北貨物通通都有。
item = 17186,江州市場
item = 17187,小販
item = 17188,來喔、來喔、南北貨物通通都有。
item = 17189,長安市場
item = 17190,小販
item = 17191,來喔、來喔、南北貨物通通都有。
item = 17192,柴桑市場
item = 17193,小販
item = 17194,來喔、來喔、南北貨物通通都有。
item = 17195,北平市場
item = 17196,小販
item = 17197,來喔、來喔、南北貨物通通都有。
item = 17198,涼州市場
item = 17199,小販
item = 17200,來喔、來喔、南北貨物通通都有。
item = 17201,建寧市場
item = 17202,小販
item = 17203,來喔、來喔、南北貨物通通都有。
item = 17204,豫章市場
item = 17205,小販
item = 17206,來喔、來喔、南北貨物通通都有。
item = 17207,晉陽市場
item = 17208,小販
item = 17209,來喔、來喔、南北貨物通通都有。
item = 17210,武陵市場
item = 17211,小販
item = 17212,來喔、來喔、南北貨物通通都有。
item = 17213,安定市場
item = 17214,小販
item = 17215,來喔、來喔、南北貨物通通都有。
item = 17216,天水市場
item = 17217,小販
item = 17218,來喔、來喔、南北貨物通通都有。
item = 17219,江州市場
item = 17220,小販
item = 17221,來喔、來喔、南北貨物通通都有。
item = 17222,零陵市場
item = 17223,小販
item = 17224,來喔、來喔、南北貨物通通都有。
item = 17225,平原市場
item = 17226,小販
item = 17227,來喔、來喔、南北貨物通通都有。
item = 17228,桂陽市場
item = 17229,小販
item = 17230,來喔、來喔、南北貨物通通都有。
item = 17231,漢中市場
item = 17232,小販
item = 17233,來喔、來喔、南北貨物通通都有。
item = 17234,陳留市場
item = 17235,小販
item = 17236,來喔、來喔、南北貨物通通都有。
item = 17237,鄴城市場
item = 17238,小販
item = 17239,來喔、來喔、南北貨物通通都有。
item = 17240,會稽市場
item = 17241,小販
item = 17242,來喔、來喔、南北貨物通通都有。
item = 17243,地下市場
item = 17244,小販
item = 17245,地下商城，歡迎您的光臨。
item = 17246,地穴市集
item = 17247,小販
item = 17248,地下商城，歡迎您的光臨。
item = 17249,通天市場
item = 17250,小販
item = 17251,樂天商城，歡迎您的光臨。
item = 17252,煉獄市集
item = 17253,小販
item = 17254,地獄商城，歡迎您的光臨。
item = 17255,邪馬台市場
